,Tweet,Original,Datetime,Username,Likes,Retweets,View,Hashtags,Sentiments
0,2023: President _ Tebboune congratulates the Algerian people on the occasion of the new year   ,"2023: #الرئيس_تبون يهنئ الشعب الجزائري بمناسبة السنة الجديدة

https://t.co/8nxXXjytAk https://t.co/wi8FEHHhb6",2022-12-31 21:12:31+00:00,APS_Algerie,183,9,10577.0,['الرئيس_تبون'],Positive
1,President _ Tebboune congratulates the Algerian people on the occasion of the new year  ,"#الرئيس_تبون  يهنئ الشعب الجزائري بمناسبة حلول العام الجديد

https://t.co/HCxcpfnphN",2022-12-31 20:20:32+00:00,APS_Algerie,19,1,2838.0,['الرئيس_تبون'],Positive
2,Promoting the cultural legacy for sustainable tourism development   ,"Valoriser le legs culturel pour un développement touristique durable

https://t.co/JybsuVcbUU https://t.co/OvlZOF2SxF",2022-12-31 18:30:09+00:00,APS_Algerie,21,0,2354.0,,Positive
3,The late Ahmed_Ben_Bella is among the heroes who mixed thought and action   ,"الراحل #أحمد_بن_بلة من بين الأبطال الذين مزجوا بين الفكر والعمل

https://t.co/v9sfijhaOI https://t.co/3pdUoee63I",2022-12-31 18:18:43+00:00,APS_Algerie,156,5,11356.0,['أحمد_بن_بلة'],Positive
4,Green Algeria Project: Planting hundreds of thousands of trees across 58 wilayas   ,"مشروع الجزائر الخضراء: غرس مئات الآلاف من #الأشجار عبر 58 ولاية

https://t.co/KseN5FNTn9 https://t.co/QNMIpUKmJY",2022-12-31 17:40:30+00:00,APS_Algerie,52,1,2867.0,['الأشجار'],Neutral
5,Ghardaia: A large influx of national visitors to the region during the end days of this year   ,"#غرداية : تدفق كبير للزوار الوطنيين على المنطقة خلال أيام نهاية هذه السنة

https://t.co/N8l6YD3sEM https://t.co/VMsHWK7Yhi",2022-12-31 17:30:30+00:00,APS_Algerie,44,0,2523.0,['غرداية'],Neutral
6,Gharda a: strong influx of national visitors at the end of the year   ,"#Ghardaïa: forte affluence de visiteurs nationaux en cette fin d’année

https://t.co/7FoUErW3Jb https://t.co/rCV5xPLimb",2022-12-31 17:20:30+00:00,APS_Algerie,24,3,1935.0,['Ghardaïa'],Neutral
7,Opening the door for candidacy for tourist_agencies wishing to organize the next Hajj season   ,"فتح باب الترشح أمام #الوكالات_السياحية الراغبة في تنظيم موسم الحج المقبل

https://t.co/DpkQM7Wu0b https://t.co/s1S3hvesiQ",2022-12-31 17:15:30+00:00,APS_Algerie,16,1,1790.0,['الوكالات_السياحية'],Neutral
8,Towert: The Minister of Health is examining and inaugurating several projects for the sector ,#توقرت : وزير الصحة يعاين ويدشن عدة مشاريع خاصة بالقطاع https://t.co/lElphwsQ5i,2022-12-31 17:15:26+00:00,APS_Algerie,25,1,1917.0,['توقرت'],Neutral
9,National _ Gendarmerie sets a special plan to secure New Year's Eve   ,"#الدرك_الوطني يضع مخططا خاصا لتأمين رأس السنة الميلادية الجديدة

https://t.co/oGqdCcY5ol https://t.co/8l6FALfOsE",2022-12-31 17:00:10+00:00,APS_Algerie,7,2,1535.0,['الدرك_الوطني'],Neutral
10, Timimon: The launch of the activities of the 15th edition of the Ahleel Cultural Festival ,#تيميمون: انطلاق فعاليات الطبعة الـ 15 للمهرجان الثقافي أهليل https://t.co/CJ5Bnc5nPc,2022-12-31 16:53:08+00:00,APS_Algerie,12,1,1276.0,['تيميمون'],Neutral
11,New_year: a special device to preserve public safety   ,"#Nouvel_an : un dispositif spécial pour préserver la sécurité publique

https://t.co/91ULbLRhTL https://t.co/V58ZTXFqTy",2022-12-31 16:46:00+00:00,APS_Algerie,14,0,1757.0,['Nouvel_an'],Neutral
12,Krikou supervises a reforestation operation in the Ba nem forest   ,"#Krikou supervise une opération de reboisement dans la forêt de Baïnem

https://t.co/mLvJKy90Aw https://t.co/iyTb5BB8dc",2022-12-31 16:25:44+00:00,APS_Algerie,11,1,1825.0,['Krikou'],Neutral
