,Tweet,Original,Datetime,Username,Likes,Retweets,View,Hashtags,Sentiments
0,F tedelavictoire: Memory and development at the heart of festivities in the Center of the country   ,"#Fêtedelavictoire: Mémoire et développement au cœur de festivités au Centre du pays

https://t.co/fDYaZtIaDX https://t.co/tr7SJpAMsQ",2023-03-19 20:36:22+00:00,APS_Algerie,13,0,1107.0,['Fêtedelavictoire'],Neutral
1,Mr. Bilani receives the Director of the Finnish Mediation Center   ,"السيد #بلاني يستقبل مديرة المركز الفنلندي للوساطة

https://t.co/bLlokplrUE https://t.co/BVnk0CJDOs",2023-03-19 18:58:43+00:00,APS_Algerie,17,0,1040.0,['بلاني'],Neutral
2,Belani receives the director of the Finnish Peace Mediation Center   ,"#Belani reçoit la directrice du Centre finlandais de médiation pour la paix

https://t.co/dJiYl1P4EU https://t.co/w0jPoCxtm6",2023-03-19 18:57:58+00:00,APS_Algerie,12,0,999.0,['Belani'],Neutral
3,Agriculture: supplying the market with agricultural products at the center of the minister's meeting with professionals in the sector   ,"#Agriculture: l'approvisionnement du marché en produits agricoles au centre de la réunion du ministre avec les professionnels du secteur

https://t.co/QCGQoUxjzV https://t.co/VUuIn2LSn7",2023-03-19 18:45:24+00:00,APS_Algerie,15,0,1073.0,['Agriculture'],Neutral
4,The Sahrawi President begins a state visit to Venezuela     ,"Le Président sahraoui entame une visite d'Etat au #Venezuela 🇻🇪

https://t.co/6tWnO3wNFN https://t.co/zaHwDncYUD",2023-03-19 18:34:21+00:00,APS_Algerie,44,6,1796.0,['Venezuela'],Neutral
5,Morocco/University Student Repression: Discontent and Anger Against the Authoritarian Persecution Policy of the Makhzen Regime  ,"#المغرب/قمع الطلبة الجامعيين: سخط وغضب إزاء سياسة التغول السلطوي للنظام المخزني

https://t.co/rIdHq9Sx2j",2023-03-19 18:27:17+00:00,APS_Algerie,20,0,1037.0,['المغرب'],Negative
6,"Victory_Eid represents ""the force that cleared the way to confirm the positions of the Algerian negotiator in Evian.""   ","#عيد_النصر يمثل ""القوة التي فسحت الطريق لتأكيد مواقف المفاوض الجزائري في إيفيان""

https://t.co/cQ1ZGNOaFf https://t.co/TsQRdzvewW",2023-03-19 18:08:06+00:00,APS_Algerie,17,0,1100.0,['عيد_النصر'],Neutral
7,"Enacting a law to address the phenomenon of human trafficking is a ""proactive"" measure   ","سن قانون للتصدي لظاهرة الاتجار بالبشر هو إجراء ""استباقي""

https://t.co/RCg2OwSqXI https://t.co/FX1JnwEJbB",2023-03-19 17:49:52+00:00,APS_Algerie,11,0,1110.0,,Neutral
8,Fiat Oran Factory: The first share of Stellantis' investment is estimated at 200 million euros   ,"مصنع #فيات بوهران: الحصة الأولى من استثمار ستيلانتيس تقدر ب200 مليون اورو

https://t.co/OoP7NhhFsR https://t.co/PyhhlJuPJf",2023-03-19 17:36:10+00:00,APS_Algerie,24,2,1542.0,['فيات'],Neutral
9,Boumrads: The Minister of Mujahideen supervises the official celebrations of Victory_Day   ,"#بومرادس: وزير المجاهدين يشرف على الاحتفالات الرسمية ب #عيد_النصر

https://t.co/0Fq19zy6WX https://t.co/eZToWtgp3C",2023-03-19 17:24:49+00:00,APS_Algerie,16,1,974.0,"['بومرادس', 'عيد_النصر']",Neutral
